epoch,abdomen,head,loss,lr,thorax,val_abdomen,val_head,val_loss,val_thorax
0,0.014379926957190037,0.013485043309628963,0.010617281310260296,1e-04,0.003986891359090805,0.006066577509045601,0.0047702668234705925,0.00411888025701046,0.0015197957400232553
1,0.0053226831369102,0.004269992001354694,0.0034908957313746214,1e-04,0.000880007108207792,0.0064454940147697926,0.0053406269289553165,0.004365193657577038,0.001309458864852786
2,0.0039376625791192055,0.002908305963501334,0.0025051261764019728,1e-04,0.0006694151670671999,0.003143461188301444,0.002561180619522929,0.002157540526241064,0.0007679798873141408
3,0.0033647632226347923,0.0025031433906406164,0.0021241477224975824,1e-04,0.0005045393481850624,0.0031864771153777838,0.0021340770181268454,0.0018506463384255767,0.00023138438700698316
4,0.0029530981555581093,0.0021813935600221157,0.0018561038887128234,1e-04,0.00043381834984757006,0.002954582218080759,0.0018684520618990064,0.0016685592709109187,0.00018264404207002372
5,0.0028190116863697767,0.002091743517667055,0.0017608209745958447,1e-04,0.00037170760333538055,0.0024193471763283014,0.001892106025479734,0.0014963707653805614,0.00017765929806046188
6,0.002672171453014016,0.002077931072562933,0.0016948803095147014,1e-04,0.0003345364530105144,0.0023388827685266733,0.0019572959281504154,0.0015048969071358442,0.00021851185010746121
7,0.0023469598963856697,0.0017830133438110352,0.0014774607261642814,1e-04,0.000302412110613659,0.002570400945842266,0.0021301070228219032,0.0016244789585471153,0.0001729292853269726
8,0.0023627665359526873,0.001767445937730372,0.0014647203497588634,1e-04,0.0002639511658344418,0.002022014930844307,0.0015391053166240454,0.001215500058606267,8.537952089682221e-05
9,0.0023082720581442118,0.001688760588876903,0.0014226599596440792,1e-04,0.00027094516553916037,0.002556469524279237,0.002114989561960101,0.0016153923934325576,0.0001747181377140805
10,0.0021990137174725533,0.0016485387459397316,0.0013537760823965073,1e-04,0.0002137715637218207,0.002642826410010457,0.0020267735235393047,0.0016203196719288826,0.00019135924230795354
11,0.002130756853148341,0.00162518210709095,0.0013257727259770036,1e-04,0.00022138010535854846,0.002161265816539526,0.0017105578444898129,0.0013285359600558877,0.00011378512135706842
12,0.0019172693137079477,0.0014394257450476289,0.0011871252208948135,1e-04,0.0002046795270871371,0.0021602048072963953,0.0018742711981758475,0.0013914596056565642,0.00013990308798383921
13,0.0019646501168608665,0.0015623988583683968,0.0012397554237395525,1e-04,0.0001922163792187348,0.0022957813926041126,0.00175649079028517,0.0014049604069441557,0.00016260903794318438
14,0.0017552616773173213,0.0012780320830643177,0.0010519542265683413,5e-05,0.0001225687301484868,0.001367008313536644,0.0010962426895275712,0.0008472705376334488,7.856050797272474e-05
15,0.0015903463354334235,0.0012754882918670774,0.0009965202771127224,5e-05,0.00012372560740914196,0.0020111934281885624,0.0017470067832618952,0.0012737284414470196,6.298460357356817e-05
16,0.0015610831324011087,0.0011693070409819484,0.00094246631488204,5e-05,9.700970258563757e-05,0.0016569758299738169,0.0016654562205076218,0.0011326479725539684,7.551231828983873e-05
17,0.0015934380935505033,0.0011682535987347364,0.0009624382946640253,5e-05,0.00012562218762468547,0.002246314426884055,0.00171761866658926,0.0013459296897053719,7.385556818917394e-05
18,0.0015058530261740088,0.0011186926858499646,0.0009091690299101174,5e-05,0.0001029624036164023,0.0018864042358472943,0.0012887553311884403,0.0010767716448754072,5.515520024346188e-05
19,0.0015590479597449303,0.0011747790267691016,0.0009622377692721784,5e-05,0.0001528855791548267,0.001934455125592649,0.0012920922599732876,0.0011108573526144028,0.00010602456313790753
20,0.0014727195957675576,0.0011286766966804862,0.0009051839588209987,5e-05,0.00011415556946303695,0.0017280657775700092,0.0013235907536000013,0.0010367301292717457,5.853327093063854e-05
21,0.001380672212690115,0.0010341651504859328,0.0008389561553485692,2.5e-05,0.00010202964767813683,0.0016027026576921344,0.0012508071959018707,0.0009828844340518117,9.514349221717566e-05
22,0.0013108140556141734,0.000977117451839149,0.000792918901424855,2.5e-05,9.082461474463344e-05,0.0020324052311480045,0.0014973052311688662,0.0011921662371605635,4.6788503823336214e-05
23,0.0012250961735844612,0.0009441706934012473,0.0007491010474041104,2.5e-05,7.803728658473119e-05,0.001588811632245779,0.0011378255439922214,0.0009235808392986655,4.410482870298438e-05
24,0.0012297426583245397,0.000969654181972146,0.0007582868565805256,2.5e-05,7.546375854872167e-05,0.001704108202829957,0.0012455452233552933,0.0009984620846807957,4.573268233798444e-05
